self;other;geometry;edge;edge_correction
13850;13851;LINESTRING (133999.4982000003 5915392.0589, 133980.9265000001 5915390.0584);14796;
13877;14035;LINESTRING (134166.6052999999 5915481.1381, 134185.4419999998 5915351.9954, 134186.3097000001 5915346.0467);16543;
14344;16249;LINESTRING (134367.6586999996 5915337.9631, 134287.8707999997 5915340.9944);18029;
14035;13853;LINESTRING (134186.3097000001 5915346.0467, 134216.8461999996 5915342.3788);18104;
16214;16215;LINESTRING (134154.7571999999 5915240.0765, 134139.4742000001 5915346.2255);18272;
13882;16210;LINESTRING (134065.1536999997 5915358.2684, 134097.9073000001 5915357.7925);18311;
16216;13510;LINESTRING (134068.0477 5915512.2695, 134056.4797999999 5915595.8242);18319;
16211;16210;LINESTRING (134094.7243999997 5915404.2596, 134097.9073000001 5915357.7925);18366;
13517;16215;LINESTRING (134094.4839000003 5915346.3972, 134139.4742000001 5915346.2255);18368;
15988;15998;LINESTRING (133945.7625000002 5915039.1689, 133946.2663000003 5915177.0605);15488;
13870;13517;LINESTRING (134077.7304999996 5915346.7924, 134094.4839000003 5915346.3972);16130;
15500;15501;LINESTRING (134262.6409 5915341.928, 134257.2280999999 5915407.1336, 134257.2679000003 5915452.2096);16808;
15994;15996;LINESTRING (134125.9080999997 5915113.8051, 134127.9013 5915171.1583);16164;
13519;13518;LINESTRING (134108.8695999999 5915240.9005, 134100.0037000002 5915303.9192);16732;
13518;13517;LINESTRING (134100.0037000002 5915303.9192, 134094.4839000003 5915346.3972);16733;
16248;16249;LINESTRING (134288.1983000003 5915301.3375, 134287.8707999997 5915340.9944);17269;
16250;16251;LINESTRING (134377.3206000002 5915492.3525, 134375.6898999996 5915450.2986);17270;
16251;12767;LINESTRING (134375.6898999996 5915450.2986, 134346.4243999999 5915450.3489);17271;
16247;16248;LINESTRING (134365.9134999998 5915300.3135, 134288.1983000003 5915301.3375);17841;
16246;16245;LINESTRING (134367.5948000001 5915375.756, 134288.3267999999 5915376.9394);17842;
16247;14344;LINESTRING (134365.9134999998 5915300.3135, 134367.6586999996 5915337.9631);17843;
14344;16246;LINESTRING (134367.6586999996 5915337.9631, 134367.5948000001 5915375.756);17844;
12763;15972;LINESTRING (133984.7423999999 5915359.6326, 134035.6920999996 5915358.7682);17850;
13855;13854;LINESTRING (134178.6508999998 5915307.0501, 134219.5976999998 5915309.011);15396;
13512;13514;LINESTRING (134009.5948000001 5915516.9138, 134000.7544 5915596.9537);16740;
15989;14613;LINESTRING (133979.5401999997 5915043.9774, 134005.4402999999 5915043.5314);17070;
16249;15500;LINESTRING (134287.8707999997 5915340.9944, 134262.6409 5915341.928);17723;
16245;16249;LINESTRING (134288.3267999999 5915376.9394, 134287.8707999997 5915340.9944);17724;
16213;16214;LINESTRING (134186.9800000004 5915240.0474, 134154.7571999999 5915240.0765);18273;
13855;16213;LINESTRING (134178.6508999998 5915307.0501, 134186.9800000004 5915240.0474);18274;
15869;15804;LINESTRING (133972.8753000004 5915487.1964, 133954.3343000002 5915597.8945);15736;
12769;12768;LINESTRING (134348.0652999999 5915496.4162, 134346.7331999997 5915458.5105);17152;
12768;12767;LINESTRING (134346.7331999997 5915458.5105, 134346.4243999999 5915450.3489);17153;
12767;15501;LINESTRING (134346.4243999999 5915450.3489, 134257.2679000003 5915452.2096);17154;
15972;13882;LINESTRING (134035.6920999996 5915358.7682, 134065.1536999997 5915358.2684);17678;
16204;15972;LINESTRING (134023.1053999998 5915462.895, 134035.6920999996 5915358.7682);17679;
