,self,other,edge,edge_correction,geometry
263,16437,16438,15149,,"LINESTRING (130875.2752999999 5915180.8503, 130936.2248 5915189.3996)"
264,16434,16436,15150,,"LINESTRING (130844.6304000001 5915129.1809, 130929.0639000004 5915142.6315)"
265,16428,16434,15151,,"LINESTRING (130796.4839000003 5915123.54, 130844.6304000001 5915129.1809)"
266,16504,16434,15152,,"LINESTRING (130850.2654999997 5915077.4134, 130844.6304000001 5915129.1809)"
267,16435,16504,15153,,"LINESTRING (130932.1233999999 5915087.5306, 130850.2654999997 5915077.4134)"
268,16418,16504,15154,,"LINESTRING (130731.7403999995 5915063.244, 130850.2654999997 5915077.4134)"
269,16429,16448,15155,,"LINESTRING (130794.4071000004 5915139.7065, 130784.8501000004 5915218.4592)"
270,16430,16449,15156,,"LINESTRING (130760.6985999998 5915136.638, 130750.5453000003 5915214.4652)"
271,16459,16460,14903,,"LINESTRING (130821.7943000002 5915308.4382, 130868.3801999995 5915315.6242)"
273,16457,16442,14905,,"LINESTRING (130897.6893999996 5915349.0677, 130908.3283000002 5915286.3234)"
274,16299,16471,15133,,"LINESTRING (130552.2456999999 5915358.2845, 130557.6544000003 5915322.4844)"
276,16431,16507,15195,,"LINESTRING (130711.7078 5915130.5489, 130702.9391999999 5915208.8465)"
277,16432,16506,15196,,"LINESTRING (130663.3934000004 5915138.4306, 130655.5273000002 5915202.8847)"
278,16433,16505,15197,,"LINESTRING (130629.5464000003 5915133.0481, 130621.8486000001 5915198.6672)"
